trip_uuid,isolation_anomaly,isolation_score,Anomaly,delivery_time_hours,actual_time,osrm_time,actual_distance_to_destination,osrm_distance,factor,segment_factor,is_cutoff,duplicate_flag,same_city
trip-153764157043636106,0,0.19113671520028858,Normal,,105,59,67.3681164,82.3315,1.779661017,1.882352941,True,1,0
trip-153803683878704599,0,0.13209375479165714,Normal,,785,448,484.2117492,570.829,1.752232143,1.285714286,True,1,0
trip-153814369747664517,0,0.14448072734387052,Normal,-5.508333333333334,267,109,132.204374,153.8879,2.449541284,1.944444444,True,1,0
trip-153786712501643905,0,0.08264831081768975,Normal,,208,123,109.2437473,124.3018,1.691056911,1.3,False,0,0
trip-153783214370762813,0,0.19046187367335093,Normal,,36,21,22.02768049,23.2711,1.714285714,1.714285714,True,1,0
trip-153816378718520553,0,0.08281761469793564,Normal,,1393,829,858.3095939,1091.1214,1.680337756,1.529411765,True,1,0
trip-153695666746702071,0,0.17545248766132227,Normal,,87,71,58.15009949,67.9055,1.225352113,1.0,True,1,0
trip-153845541628151872,0,0.07167613649187227,Normal,-7.27,82,24,30.22915898,33.9214,3.416666667,4.0,False,0,0
trip-153735668652379729,0,0.18893871949992813,Normal,,105,45,49.97550119,63.3047,2.333333333,2.346153846,True,1,0
trip-153827839937641823,0,0.1277674220130336,Normal,,843,404,440.3272169,563.1599,2.086633663,1.3,True,1,0
trip-153712734233194155,0,0.19365209500018576,Normal,,48,25,22.0036969,34.4854,1.92,1.92,True,1,0
trip-153726477271073394,0,0.08917005459273264,Normal,,395,219,242.431816,290.3415,1.803652968,1.678571429,True,0,0
trip-153844420241022287,0,0.18109595649369825,Normal,,35,17,23.80690387,24.611,2.058823529,2.058823529,True,0,0
trip-153778815744501938,0,0.1570726329626858,Normal,,152,45,58.02959137,64.6345,3.377777778,2.2,True,1,0
trip-153714615114839262,0,0.11996513160058242,Normal,12.871666666666666,31,21,27.9172211,29.8265,1.476190476,1.833333333,True,1,0
trip-153704844310090347,0,0.08163758441080299,Normal,,1479,788,859.1438442,1079.1443,1.876903553,0.833333333,True,1,0
trip-153679191158631235,0,0.17503114311253193,Normal,,99,78,66.13259877,80.6533,1.269230769,1.086956522,True,1,0
trip-153749849565084973,0,0.13859715133105865,Normal,,37,25,20.40616745,25.7175,1.48,1.48,False,0,0
trip-153738530508881837,0,0.13966524168012961,Normal,,390,206,242.387192,272.5089,1.893203883,3.5,True,1,0
trip-153800841822342770,0,0.1673124935191223,Normal,,12,7,9.134428484,9.9368,1.714285714,1.714285714,True,1,0
trip-153764475397800605,0,0.1498400466349305,Normal,,505,269,330.126643,360.6565,1.87732342,1.3125,True,1,0
trip-153802411154608083,1,-0.009657271507217957,Fraud,-16.026666666666667,1739,678,726.126439,898.318,2.564896755,1.5,True,1,0
trip-153688764530710296,0,0.0764304941927978,Normal,,232,130,111.6603,173.0913,1.784615385,2.0,False,0,0
trip-153764937651016017,0,0.16771174976672348,Normal,,19,15,10.52088757,15.5805,1.266666667,1.266666667,True,0,0
trip-153860757423211782,0,0.15107207979056986,Normal,,170,52,55.26001139,67.8365,3.269230769,2.0,True,0,0
trip-153755779245834106,0,0.1221947881709608,Normal,,807,440,551.5379522,620.4533,1.834090909,1.12,True,1,0
trip-153696600598184531,0,0.11087544394321508,Normal,,1002,517,599.3366232,726.386,1.938104449,2.434782609,True,1,0
trip-153746373202716346,0,0.07718612273167108,Normal,1.7616666666666667,970,413,484.8040353,561.0596,2.348668281,3.529411765,True,1,0
trip-153815701902527646,1,-0.03760672191500458,Fraud,,2465,1318,1452.774752,1770.0637,1.870257967,3.6,True,1,0
trip-153692032594030173,0,0.08920704355508702,Normal,,1467,816,902.9761511,1128.5245,1.797794118,1.5,True,1,0
trip-153709462265745109,0,0.19286271926960852,Normal,,57,34,44.43200648,48.4743,1.676470588,1.733333333,True,1,0
trip-153687759030195023,0,0.01646933421111141,Normal,,1917,856,1122.744439,1211.1787,2.239485981,3.823529412,True,1,0
trip-153779508492576787,0,0.19373644338147245,Normal,,38,21,22.73563456,28.4819,1.80952381,1.80952381,True,1,0
trip-153687145942424248,1,-0.022522709475123137,Fraud,,738,433,331.6523996,472.5899,1.704387991,1.342857143,False,0,0
trip-153677980129051821,0,0.0576270491658486,Normal,,1907,979,1100.386967,1334.3063,1.947906027,1.388888889,True,1,0
trip-153786220794548811,0,0.1873458621093929,Normal,,37,20,22.60822938,28.5081,1.85,1.85,True,0,0
trip-153729955334231702,0,0.18768828821234368,Normal,,31,22,24.40367654,30.4018,1.409090909,1.409090909,True,1,0
trip-153720904639353953,0,0.12787845376121793,Normal,,592,383,463.0106276,521.8235,1.545691906,1.703703704,True,1,0
trip-153766515052019593,0,0.1496775772191134,Normal,,597,266,330.2600358,375.1922,2.244360902,1.785714286,True,1,0
trip-153836941790260192,0,0.17597234398415834,Normal,,139,69,88.05888272,97.3602,2.014492754,3.266666667,True,1,0
trip-153764498037969199,0,0.11658494066399111,Normal,,1118,568,668.378657,799.0245,1.968309859,1.411764706,True,1,0
trip-153798971689571058,0,0.12761010592451127,Normal,,798,447,484.0290761,596.867,1.785234899,2.1875,True,1,0
trip-153677807324842524,0,0.14419142495280857,Normal,,486,306,291.6988821,405.4679,1.588235294,1.233333333,True,1,0
trip-153687694878163008,0,0.16936706471702445,Normal,,21,15,10.56625201,14.8367,1.4,1.4,True,0,0
trip-153737437961982221,0,0.05001760505973396,Normal,,304,168,146.0784958,194.2738,1.80952381,2.551724138,False,0,0
trip-153716117860885764,0,0.15620336756943626,Normal,,340,155,154.203929,175.4742,2.193548387,2.875,True,1,0
trip-153695481501491938,0,0.18866972134647336,Normal,,48,32,22.14540086,34.7589,1.5,1.5,True,1,0
trip-153816566166426388,0,0.008902668590318963,Normal,15.2,914,595,704.3320041,814.4827,1.536134454,0.714285714,True,1,0
trip-153784518898291327,0,0.15706251456752252,Normal,,104,32,27.98517101,36.6554,3.25,3.25,True,1,0
trip-153815935809555902,0,0.12312511247044594,Normal,,41,29,18.83707082,24.8342,1.413793103,0.0,False,0,0
trip-153796743263745045,0,0.177532057907332,Normal,,159,86,110.081533,119.4789,1.848837209,0.852941176,True,1,0
trip-153738602083898440,0,0.1667048975044041,Normal,,34,34,27.18518535,30.0122,1.0,1.1,True,1,0
trip-153859166225316621,0,0.1812011943285436,Normal,,188,101,132.4267295,143.6565,1.861386139,1.6875,True,1,0
trip-153747387300626701,0,0.05984974620320632,Normal,,1433,876,969.224515,1147.2709,1.635844749,2.25,True,1,0
trip-153696836509141273,0,0.09299886996012602,Normal,,45,57,30.13772106,56.9785,0.789473684,3.0,False,0,0
trip-153705331891862619,0,0.14900866432857257,Normal,,514,265,308.4569467,365.7602,1.939622642,1.0,True,1,0
trip-153711801471977037,0,0.18992104168812657,Normal,,147,84,68.75844937,77.5513,1.75,2.041666667,True,1,0
trip-153859651465634278,0,0.09496754106552602,Normal,,58,17,16.03331911,18.6206,3.411764706,-1.0,False,0,0
trip-153740780250358258,0,0.18552104408935116,Normal,,54,30,29.42147808,39.3297,1.8,1.75,True,0,0
trip-153774925025921428,0,0.18451775894997258,Normal,,40,20,18.16935741,23.8534,2.0,1.666666667,True,0,0
trip-153737849650943585,0,0.15831162274404292,Normal,,360,203,265.2661968,288.1071,1.773399015,1.4,True,1,0
trip-153720721361595712,0,0.1663283436135874,Normal,,335,165,198.3586858,228.809,2.03030303,1.588235294,True,1,0
trip-153835997244709877,0,0.07951045032003451,Normal,,1094,410,418.0657614,563.9826,2.668292683,3.0,True,1,0
trip-153692619411658558,0,0.16924054471996614,Normal,,135,57,39.8188586,67.2158,2.368421053,2.1875,True,0,0
trip-153739953547749510,0,0.1429297446400865,Normal,,115,33,44.80396415,47.822,3.484848485,3.733333333,True,1,0
trip-153858496572996310,0,0.14639383040555964,Normal,,194,86,88.5856863,106.7361,2.255813953,2.863636364,True,0,0
trip-153843741038955003,0,0.17109031894956833,Normal,,242,130,132.5458831,181.3626,1.861538462,1.05,True,1,0
trip-153770717725181685,0,0.10845040484827212,Normal,,191,63,55.23824803,68.2834,3.031746032,7.583333333,True,1,0
trip-153722103318717795,0,0.18092396913469871,Normal,,43,28,20.6687549,24.6889,1.535714286,1.0625,True,0,0
